startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,HKTimeZone,HKWeatherTemperature,HKAverageMETs,HKWeatherHumidity
2021-11-07 19:27:36 +0000,2021-11-07 20:09:39 +0000,TraditionalStrengthTraining,2522.672809,sec,561.666 kcal,,America/New_York,,10.7071,
2021-11-09 21:03:35 +0000,2021-11-09 22:05:18 +0000,TraditionalStrengthTraining,3702.780434,sec,740.279 kcal,,America/New_York,,9.50105,
2021-11-14 15:41:13 +0000,2021-11-14 16:46:28 +0000,TraditionalStrengthTraining,3915.021339,sec,799.246 kcal,,America/New_York,,9.53698,
2021-11-18 20:23:52 +0000,2021-11-18 21:22:58 +0000,TraditionalStrengthTraining,3545.931497,sec,691.816 kcal,,America/New_York,73.4 degF,9.3803,5600
2021-11-19 22:09:00 +0000,2021-11-19 22:59:29 +0000,TraditionalStrengthTraining,3029.788421,sec,583.48 kcal,,America/New_York,51.8 degF,9.18215,3400
2021-11-20 14:25:11 +0000,2021-11-20 15:20:04 +0000,TraditionalStrengthTraining,3293.645549,sec,498.272 kcal,,America/New_York,44.6 degF,6.78609,5200
2021-11-21 18:41:17 +0000,2021-11-21 19:30:59 +0000,TraditionalStrengthTraining,2982.569383,sec,497.626 kcal,,America/New_York,64.4 degF,7.63044,5500
2021-11-23 18:35:24 +0000,2021-11-23 19:08:44 +0000,TraditionalStrengthTraining,2000.55542,sec,410.622 kcal,,America/New_York,,9.76413,
2021-11-28 20:55:53 +0000,2021-11-28 21:43:57 +0000,TraditionalStrengthTraining,2884.026613,sec,683.618 kcal,,America/New_York,,11.3724,
2021-11-29 22:18:20 +0000,2021-11-29 23:23:38 +0000,TraditionalStrengthTraining,3918.013329,sec,948.502 kcal,,America/New_York,,11.6256,
2021-11-30 14:20:10 +0000,2021-11-30 15:15:25 +0000,TraditionalStrengthTraining,3315.689912,sec,680.177 kcal,,America/New_York,,9.85368,
2021-12-06 00:59:20 +0000,2021-12-06 01:29:27 +0000,TraditionalStrengthTraining,1806.566149,sec,198.259 kcal,,America/New_York,,4.58615,
